,categoria_id,descricao
0,3222021,LIMPADOR DE USO GERAL
1,3205061,DESINFETANTE PARA USO GERAL
5,3222030,DESINCRUSTANTE ALCALINO
29,3211062,DESINFETANTE PARA HORTIFRUTÍCOLAS
35,3206025,INSETICIDA PARA EMPRESAS ESPECIALIZADAS
56,3103033,ÁGUA SANITÁRIA
58,3211042,DETERGENTE DESENGORDURANTE
63,3205029,DESINFETANTE HOSPITALAR PARA SUPERFÍCIES FIXAS E ARTIGOS NÃO CRÍTICOS
79,3222050,DESINFETANTE PARA ROUPAS HOSPITALARES
81,3222029,DESINCRUSTANTE ÁCIDO
84,3103084,DESENGRAXANTE
93,3222049,DESINFETANTE PARA TECIDOS E ROUPAS
153,3205045,DESINFETANTE PARA PISCINAS
180,3205053,DESINFETANTE PARA INDÚSTRIA ALIMENTÍCIA E AFINS
183,3222040,TIRA MANCHAS
185,3101010,DETERGENTE PARA USO GERAL
187,3103071,DETERGENTE PARA LAVAR ROUPAS
195,3207013,RATICIDA DE VENDA LIVRE
197,3210014,ALGICIDA
203,3222020,DETERGENTE ENZIMÁTICO
229,3206017,INSETICIDA DE VENDA LIVRE
230,4300215,ALVEJANTE CLORADO
231,3102106,SAPONÁCEO
232,3222019,JARDINAGEM AMADORA
239,3202038,REMOVEDOR
284,3203018,DETERGENTE PROFISSIONAL DESINCRUSTANTE ÁCIDO
353,3208011,REPELENTE
368,3222047,SANITIZANTE PARA TECIDOS E ROUPAS
396,4300211,DESINFETANTE DE NÍVEL INTERMEDIÁRIO
416,3207021,RATICIDA PARA EMPRESAS ESPECIALIZADAS
626,3222033,LIMPA PISOS
627,3204014,ESTERILIZANTE
709,4300212,DESINFETANTE DE ALTO NÍVEL
718,4300213,DETERGENTE PARA USO ESPECÍFICO
848,3207031,DETERGENTE PARA LAVAR LOUÇAS
1007,3103021,DESODORIZANTE PARA APARELHOS SANITÁRIOS
1013,3209016,MOLUSCICIDA
1046,3222046,SANITIZANTE PARA USO GERAL
1053,3103055,DETERGENTE LIMPA PISOS
1061,3211051,DESINFETANTE DE ÁGUA PARA CONSUMO HUMANO
