,RESOLUCAO,EMPRESA,AUTORIZACAO,NOME_PRODUTO_MARCA,NUMERO_PROCESSO,NUMERO_REGISTRO,VENDA_EMPREGO,VENCIMENTO,APRESENTACAO,VALIDADE_PRODUTO,CATEGORIA,ASSUNTO_PETICAO,EXPEDIENTE_PETICAO,VERSAO
0,"RESOLUÇÃO-RE Nº 4.866, DE 30 DE DEZEMBRO DE 2021",AJX COMERCIO LTDA,3.09132-9,WATER CLOR MULTI,5351.165169/2021-98,3.9132.0001.001-3,PRODUTO DE VENDA LIVRE,01/2032,WATER CLOR MULTI + BALDE + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205045 DESINFETANTE PARA PISCINAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
1,"RESOLUÇÃO-RE Nº 4.866, DE 30 DE DEZEMBRO DE 2021",ALPHA CENTAURO QUIMICA LTDA ME,3.06485-0,ALPHA DESINCRUST,5351.174264/2021-82,3.6485.0026.001-9,PRODUTO DE VENDA LIVRE,01/2032,ÚNICA + FRASCO DE PLASTICO OPACO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3222029 DESINCRUSTANTE ÁCIDO,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
2,"RESOLUÇÃO-RE Nº 4.866, DE 30 DE DEZEMBRO DE 2021",ALPHA CENTAURO QUIMICA LTDA ME,3.06485-0,ALPHA DESINCRUST,5351.174264/2021-82,3.6485.0026.002-7,PRODUTO DE VENDA LIVRE,01/2032,ÚNICA + GALAO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3222029 DESINCRUSTANTE ÁCIDO,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
3,"RESOLUÇÃO-RE Nº 4.866, DE 30 DE DEZEMBRO DE 2021",ALPHA CENTAURO QUIMICA LTDA ME,3.06485-0,ALPHA DESINCRUST,5351.174264/2021-82,3.6485.0026.003-5,PRODUTO DE VENDA LIVRE,01/2032,ÚNICA + BOMBONA PLASTICA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3222029 DESINCRUSTANTE ÁCIDO,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
4,"RESOLUÇÃO-RE Nº 4.866, DE 30 DE DEZEMBRO DE 2021",ASA INDUSTRIA E COMERCIO LTDA,3.02109-6,LAVA ROUPAS INVICTO,5351.891672/2021-01,3.2109.0046.001-2,PRODUTO DE VENDA LIVRE,01/2032,SUPERAÇÃO + CAIXA PAPEL CARTAO + CAIXA DE PAPELAO,24 Meses,3222047 SANITIZANTE PARA TECIDOS E ROUPAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
5,"RESOLUÇÃO-RE Nº 4.866, DE 30 DE DEZEMBRO DE 2021",ASA INDUSTRIA E COMERCIO LTDA,3.02109-6,LAVA ROUPAS INVICTO,5351.891672/2021-01,3.2109.0046.002-0,PRODUTO DE VENDA LIVRE,01/2032,SUPERAÇÃO + SACHET + SACO PLASTICO,24 Meses,3222047 SANITIZANTE PARA TECIDOS E ROUPAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
6,"RESOLUÇÃO-RE Nº 4.866, DE 30 DE DEZEMBRO DE 2021",ASA INDUSTRIA E COMERCIO LTDA,3.02109-6,LAVA ROUPAS INVICTO,5351.891672/2021-01,3.2109.0046.003-9,PRODUTO DE VENDA LIVRE,01/2032,SUPERAÇÃO + SACHET + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3222047 SANITIZANTE PARA TECIDOS E ROUPAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
7,"RESOLUÇÃO-RE Nº 4.866, DE 30 DE DEZEMBRO DE 2021",ASA INDUSTRIA E COMERCIO LTDA,3.02109-6,LAVA ROUPAS INVICTO,5351.891672/2021-01,3.2109.0046.004-7,PRODUTO DE VENDA LIVRE,01/2032,LAVANDA + SACHET + SACO PLASTICO,24 Meses,3222047 SANITIZANTE PARA TECIDOS E ROUPAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
8,"RESOLUÇÃO-RE Nº 4.866, DE 30 DE DEZEMBRO DE 2021",ASA INDUSTRIA E COMERCIO LTDA,3.02109-6,LAVA ROUPAS INVICTO,5351.891672/2021-01,3.2109.0046.005-5,PRODUTO DE VENDA LIVRE,01/2032,LAVANDA + SACHET + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3222047 SANITIZANTE PARA TECIDOS E ROUPAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
9,"RESOLUÇÃO-RE Nº 4.866, DE 30 DE DEZEMBRO DE 2021",ASA INDUSTRIA E COMERCIO LTDA,3.02109-6,LAVA ROUPAS INVICTO,5351.891672/2021-01,3.2109.0046.006-3,PRODUTO DE VENDA LIVRE,01/2032,LAVANDA + CAIXA PAPEL CARTAO + CAIXA DE PAPELAO,24 Meses,3222047 SANITIZANTE PARA TECIDOS E ROUPAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
