,RESOLUCAO,EMPRESA,AUTORIZACAO,NOME_PRODUTO_MARCA,NUMERO_PROCESSO,NUMERO_REGISTRO,VENDA_EMPREGO,VENCIMENTO,APRESENTACAO,VALIDADE_PRODUTO,CATEGORIA,ASSUNTO_PETICAO,EXPEDIENTE_PETICAO,VERSAO
0,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",ADAMA BRASIL S/A,3.05331-1,RATTI 5.0 ISCA FRESCA,5351.237753/2021-52,3.5331.0015.001-7,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,09/2031,SACO PLASTICO + CAIXA DE PAPELAO,24 Meses,3206017 INSETICIDA DE VENDA LIVRE,312 REG. SANEANTES - Mudança de Categoria de Produto,3761459/21-1,None
1,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",ADAMA BRASIL S/A,3.05331-1,ATTRACIDE,5351.854488/2016-03,3.5331.0006.001-8,,04/2026,FRASCO + CAIXA DE PAPELAO,24 Meses,3206025 INSETICIDA PARA EMPRESAS ESPECIALIZADAS,389 REG. SANEANTES - Alteração de Rotulagem de Produto,8451463/21-5,None
2,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",AEB BIOQUÍMICA LATINO AMERICANA S/A,3.01388-3,DESINFETANTE PARA INDÚSTRIA ALIMENTÍCIA PERACID MAX,5351.016137/2021-60,3.1388.0050.001-6,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,01/2032,PERACID MAX + BOMBONA PLASTICA OPACA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,12 Meses,3205053 DESINFETANTE PARA INDÚSTRIA ALIMENTÍCIA E AFINS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
3,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",AJX COMERCIO LTDA,3.09132-9,WATER CLOR TOP,5351.166908/2021-69,3.9132.0002.001-9,PRODUTO DE VENDA LIVRE,01/2032,WATER CLOR TOP + BALDE PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205045 DESINFETANTE PARA PISCINAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
4,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",ALEXANDRE MIAN,3.08814-9,M MAX ALUMINIUN,5351.812057/2021-38,3.8814.0007.001-8,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,01/2032,GALAO PLASTICO + CAIXA DE PAPELAO,12 Meses,3222029 DESINCRUSTANTE ÁCIDO,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
5,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",ALLOXY ESPECIALIDADES QUÍMICAS LTDA,3.05865-6,DIALL 3500,5351.437325/2019-11,3.5865.0005.001-0,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,12/2024,BOMBONA PLASTICA OPACA,18 Meses,3204014 ESTERILIZANTE,3782 REG. SANEANTES - Retificação de Publicação de Registro,4356364/21-0,None
6,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",AMAZON QUÍMICA INDUSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA,3.08167-4,DESINFETANTE PARA USO GERAL QUALYBRILL,5351.909915/2020-85,3.8167.0002.009-1,PRODUTO DE VENDA LIVRE,01/2031,FRASCO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,331 REG. SANEANTES - Nova versão de Produto,0053092/22-1,EUCALIPTO
7,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",AMAZON QUÍMICA INDUSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA,3.08167-4,DESINFETANTE PARA USO GERAL QUALYBRILL,5351.909915/2020-85,3.8167.0002.010-5,PRODUTO DE VENDA LIVRE,01/2031,GALAO PLASTICO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,331 REG. SANEANTES - Nova versão de Produto,0053092/22-1,EUCALIPTO
8,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",AMAZON QUÍMICA INDUSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA,3.08167-4,DESINFETANTE PARA USO GERAL QUALYBRILL,5351.909915/2020-85,3.8167.0002.011-3,PRODUTO DE VENDA LIVRE,01/2031,FRASCO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,331 REG. SANEANTES - Nova versão de Produto,0053092/22-1,TALCO
9,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",AMAZON QUÍMICA INDUSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA,3.08167-4,DESINFETANTE PARA USO GERAL QUALYBRILL,5351.909915/2020-85,3.8167.0002.012-1,PRODUTO DE VENDA LIVRE,01/2031,GALAO PLASTICO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,331 REG. SANEANTES - Nova versão de Produto,0053092/22-1,TALCO
10,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",American Nutrients do Brasil Indústria e Comércio Ltda.,3.05522-1,MUUCARE DESINCRUSTANTE ÁCIDO,5351.292413/2021-94,3.5522.0032.001-8,PRODUTO DE VENDA LIVR,01/2032,MUUCARE DESINCRUSTANTE ÁCIDO + FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO,24 Meses,3222029 DESINCRUSTANTE ÁCIDO,30020 REG. SANEANTES - Registro de produtos saneantes,8542326/21-2,None
11,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",American Nutrients do Brasil Indústria e Comércio Ltda.,3.05522-1,MUUCARE DESINCRUSTANTE ÁCIDO,5351.292413/2021-94,3.5522.0032.002-6,PRODUTO DE VENDA LIVR,01/2032,MUUCARE DESINCRUSTANTE ÁCIDO + BOMBONA PLASTICA OPACA + CAIXA DE PAPELAO,24 Meses,3222029 DESINCRUSTANTE ÁCIDO,30020 REG. SANEANTES - Registro de produtos saneantes,8542326/21-2,None
