,RESOLUCAO,EMPRESA,AUTORIZACAO,NOME_PRODUTO_MARCA,NUMERO_PROCESSO,NUMERO_REGISTRO,VENDA_EMPREGO,VENCIMENTO,APRESENTACAO,VALIDADE_PRODUTO,CATEGORIA,ASSUNTO_PETICAO,EXPEDIENTE_PETICAO,VERSAO
0,"RESOLUÇÃO-RE Nº 430, DE 10 DE FEVEREIRO DE 2022",AROMASIL INDÚSTRI,3.06889-6,DESIFETANTE HORTIFRUTÍCOLA - AROMASIL,5351.019079/2022-15,3.6889.0002.001-4,PRODUTO DE VENDA LIVRE,02/2032,FRASCO DE PLASTICO OPACO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3211062 DESINFETANTE PARA HORTIFRUTÍCOLAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
1,"RESOLUÇÃO-RE Nº 430, DE 10 DE FEVEREIRO DE 2022",Auro Indústria Química LTDA,3.09861-7,Auro Desinfetante,5351.432528/2021-28,3.9861.0001.001-7,PRODUTO DE VENDA LIVRE,02/2032,Brisa do Oceano 500 mL + FRASCO DE PLASTICO TRANSPARENTE + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
2,"RESOLUÇÃO-RE Nº 430, DE 10 DE FEVEREIRO DE 2022",Auro Indústria Química LTDA,3.09861-7,Auro Desinfetante,5351.432528/2021-28,3.9861.0001.002-5,PRODUTO DE VENDA LIVRE,02/2032,Brisa do Oceano 1L + FRASCO DE PLASTICO TRANSPARENTE + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
3,"RESOLUÇÃO-RE Nº 430, DE 10 DE FEVEREIRO DE 2022",Auro Indústria Química LTDA,3.09861-7,Auro Desinfetante,5351.432528/2021-28,3.9861.0001.003-3,PRODUTO DE VENDA LIVRE,02/2032,Brisa do Oceano 2L + FRASCO DE PLASTICO TRANSPARENTE + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
4,"RESOLUÇÃO-RE Nº 430, DE 10 DE FEVEREIRO DE 2022",Auro Indústria Química LTDA,3.09861-7,Auro Desinfetante,5351.432528/2021-28,3.9861.0001.004-1,PRODUTO DE VENDA LIVRE,02/2032,Brisa do Oceano 5L + GALAO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
5,"RESOLUÇÃO-RE Nº 430, DE 10 DE FEVEREIRO DE 2022",Auro Indústria Química LTDA,3.09861-7,Auro Desinfetante,5351.432528/2021-28,3.9861.0001.005-1,PRODUTO DE VENDA LIVRE,02/2032,Limão 500 mL + FRASCO DE PLASTICO TRANSPARENTE + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
6,"RESOLUÇÃO-RE Nº 430, DE 10 DE FEVEREIRO DE 2022",Auro Indústria Química LTDA,3.09861-7,Auro Desinfetante,5351.432528/2021-28,3.9861.0001.006-8,PRODUTO DE VENDA LIVRE,02/2032,Limão 1L + FRASCO DE PLASTICO TRANSPARENTE + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
7,"RESOLUÇÃO-RE Nº 430, DE 10 DE FEVEREIRO DE 2022",Auro Indústria Química LTDA,3.09861-7,Auro Desinfetante,5351.432528/2021-28,3.9861.0001.007-6,PRODUTO DE VENDA LIVRE,02/2032,Limão 2L + FRASCO DE PLASTICO TRANSPARENTE + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
8,"RESOLUÇÃO-RE Nº 430, DE 10 DE FEVEREIRO DE 2022",Auro Indústria Química LTDA,3.09861-7,Auro Desinfetante,5351.432528/2021-28,3.9861.0001.008-4,PRODUTO DE VENDA LIVRE,02/2032,Limão 5L + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
9,"RESOLUÇÃO-RE Nº 430, DE 10 DE FEVEREIRO DE 2022",BASTON INDÚSTRIA DE AEROSSOIS LTDA,3.04067-3,ÁLCOOL AEROSSOL SUPER DOM,5351.023555/2022-94,3.4067.0078.001-8,PRODUTO DE VENDA LIVRE,02/2032,VERSÃO 1 + LATA AEROSSOL + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
10,"RESOLUÇÃO-RE Nº 430, DE 10 DE FEVEREIRO DE 2022",BAUMINAS HIDROAZUL INDÚSTRIA E COMÉRCIO LTDA,3.02108-2,CLOROCAL,5351.605821/2021-11,3.2108.0036.001-6,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,11/2031,BALDE PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,6 Meses,3205045 DESINFETANTE PARA PISCINAS,389 REG. SANEANTES - Alteração de Rotulagem de Produto,0479096/22-8,None
11,"RESOLUÇÃO-RE Nº 430, DE 10 DE FEVEREIRO DE 2022",BAUMINAS HIDROAZUL INDÚSTRIA E COMÉRCIO LTDA,3.02108-2,CLOROCAL,5351.605821/2021-11,3.2108.0036.002-4,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,11/2031,TAMBOR PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,6 Meses,3205045 DESINFETANTE PARA PISCINAS,389 REG. SANEANTES - Alteração de Rotulagem de Produto,0479096/22-8,None
