,RESOLUCAO,EMPRESA,AUTORIZACAO,NOME_PRODUTO_MARCA,NUMERO_PROCESSO,NUMERO_REGISTRO,VENDA_EMPREGO,VENCIMENTO,APRESENTACAO,VALIDADE_PRODUTO,CATEGORIA,ASSUNTO_PETICAO,EXPEDIENTE_PETICAO,VERSAO
0,"RESOLUÇÃO-RE Nº 361, DE 3 DE FEVEREIRO DE 2022",ABC DE ITAPERUNA INDUSTRIAL DE DETERGENTES LTDA,3.04810-9,DESINCRUSTANTE ALCALINO ABC-54,5351.268391/2012-61,3.4810.0005.001-4,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,09/2027,BOMBONA PLASTICA,12 Meses,3222030 DESINCRUSTANTE ALCALINO,389 REG. SANEANTES - Alteração de Rotulagem de Produto,0363494/22-7,None
1,"RESOLUÇÃO-RE Nº 361, DE 3 DE FEVEREIRO DE 2022",ABC DE ITAPERUNA INDUSTRIAL DE DETERGENTES LTDA,3.04810-9,B-295 ABC DESINCRUSTANTE ÁCIDO,5351.369593/2012-18,3.4810.0008.001-0,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,01/2028,BOMBONA PLASTICA,12 Meses,3222029 DESINCRUSTANTE ÁCIDO,389 REG. SANEANTES - Alteração de Rotulagem de Produto,0363468/22-6,None
2,"RESOLUÇÃO-RE Nº 361, DE 3 DE FEVEREIRO DE 2022",ADAMA BRASIL S/A,3.05331-1,TEKKO PRO,5351.443407/2017-25,3.5331.0008.001-9,,11/2027,FRASCO + CAIXA DE PAPELAO,24 Meses,3206025 INSETICIDA PARA EMPRESAS ESPECIALIZADAS,389 REG. SANEANTES - Alteração de Rotulagem de Produto,8451856/21-7,None
3,"RESOLUÇÃO-RE Nº 361, DE 3 DE FEVEREIRO DE 2022",AMAZON QUÍMICA INDUSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA,3.08167-4,DESINFETANTE PARA USO GERAL QUALYBRILL,5351.909915/2020-85,3.8167.0002.001-6,PRODUTO DE VENDA LIVRE,01/2031,FRASCO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,389 REG. SANEANTES - Alteração de Rotulagem de Produto,1060525/21-6,LAVANDA
4,"RESOLUÇÃO-RE Nº 361, DE 3 DE FEVEREIRO DE 2022",AMAZON QUÍMICA INDUSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA,3.08167-4,DESINFETANTE PARA USO GERAL QUALYBRILL,5351.909915/2020-85,3.8167.0002.002-4,PRODUTO DE VENDA LIVRE,01/2031,GALAO PLASTICO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,389 REG. SANEANTES - Alteração de Rotulagem de Produto,1060525/21-6,LAVANDA
5,"RESOLUÇÃO-RE Nº 361, DE 3 DE FEVEREIRO DE 2022",AMAZON QUÍMICA INDUSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA,3.08167-4,DESINFETANTE PARA USO GERAL QUALYBRILL,5351.909915/2020-85,3.8167.0002.003-2,PRODUTO DE VENDA LIVRE,01/2031,FRASCO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,389 REG. SANEANTES - Alteração de Rotulagem de Produto,1060525/21-6,PINHO
6,"RESOLUÇÃO-RE Nº 361, DE 3 DE FEVEREIRO DE 2022",AMAZON QUÍMICA INDUSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA,3.08167-4,DESINFETANTE PARA USO GERAL QUALYBRILL,5351.909915/2020-85,3.8167.0002.004-0,PRODUTO DE VENDA LIVRE,01/2031,GALAO PLASTICO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,389 REG. SANEANTES - Alteração de Rotulagem de Produto,1060525/21-6,PINHO
7,"RESOLUÇÃO-RE Nº 361, DE 3 DE FEVEREIRO DE 2022",AMAZON QUÍMICA INDUSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA,3.08167-4,DESINFETANTE PARA USO GERAL QUALYBRILL,5351.909915/2020-85,3.8167.0002.005-9,PRODUTO DE VENDA LIVRE,01/2031,FRASCO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,389 REG. SANEANTES - Alteração de Rotulagem de Produto,1060525/21-6,FLORAL
8,"RESOLUÇÃO-RE Nº 361, DE 3 DE FEVEREIRO DE 2022",AMAZON QUÍMICA INDUSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA,3.08167-4,DESINFETANTE PARA USO GERAL QUALYBRILL,5351.909915/2020-85,3.8167.0002.006-7,PRODUTO DE VENDA LIVRE,01/2031,GALAO PLASTICO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,389 REG. SANEANTES - Alteração de Rotulagem de Produto,1060525/21-6,FLORAL
9,"RESOLUÇÃO-RE Nº 361, DE 3 DE FEVEREIRO DE 2022",AMAZON QUÍMICA INDUSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA,3.08167-4,DESINFETANTE PARA USO GERAL QUALYBRILL,5351.909915/2020-85,3.8167.0002.007-5,PRODUTO DE VENDA LIVRE,01/2031,FRASCO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,389 REG. SANEANTES - Alteração de Rotulagem de Produto,1060525/21-6,MILFLORES
